metadata,canton,value,value_metadata,
General,AG,430,,
Density,AR,218,,
People per square kilometer (km2),AI,91,,
http://en.wikipedia.org/wiki/Cantons_of_Switzerland#List,BS,5078,,
CC-BY-SA 3.0,BL,527,,
http://creativecommons.org/licenses/by-sa/3.0/,BE,167,,
2000,FR,171,,
October 21st 2011,GE,1844,,
Density is based on year 2000 population numbers,GL,56,,
absolute,GR,27,,
,JU,84,,
,LU,261,,
,NE,239,,
,NW,169,,
,OW,73,,
,SH,254,,
,SZ,170,,
,SO,320,,
,SG,243,,
,TG,284,,
,TI,122,,
,UR,33,,
,VS,59,,
,VD,248,,
,ZG,535,,
,ZH,814,,
