"metadata","canton","value","value_metadata"
"Economy","ZH",88928,
"National Income by Canton","BE",43985,
"in million CHF","LU",15622,
"http://www.bfs.admin.ch/bfs/portal/en/index/themen/04/02/05/key/gesamtes_volkseinkommen.html","UR",1584,
"unknown","SZ",6849,
,"OW",1311,
2005,"NW",2865,
"October 22nd 2011","GL",2790,
,"ZG",9971,
"absolute","FR",10106,
,"SO",11564,
,"BS",21946,
,"BL",14160,
,"SH",4086,
,"AR",2317,
,"AI",688,
,"SG",20680,
,"GR",9441,
,"AG",27913,
,"TG",10512,
,"TI",13316,
,"VD",35102,
,"VS",11114,
,"NE",8425,
,"GE",27443,
,"JU",2585,
