metadata,canton,value,value_metadata,
General,AG,220,,
Municipalities,AR,20,,
Number of Municipalities per Canton,AI,6,,
http://en.wikipedia.org/wiki/Cantons_of_Switzerland#List,BS,3,,
CC-BY-SA 3.0,BL,86,,
http://creativecommons.org/licenses/by-sa/3.0/,BE,383,,
2008,FR,167,,
October 21st 2011,GE,45,,
,GL,3,,
absolute,GR,180,,
,JU,64,,
,LU,87,,
,NE,53,,
,NW,11,,
,OW,7,,
,SH,27,,
,SZ,30,,
,SO,122,,
,SG,85,,
,TG,80,,
,TI,157,,
,UR,20,,
,VS,143,,
,VD,339,,
,ZG,11,,
,ZH,171,,
