"metadata","canton","value","value_metadata"
"Population","AG",0.087,
"Population Change due to Migration","AR",-0.003,
"Percentage of absolute Population per Canton","AI",0.051,
"http://www.bfs.admin.ch/bfs/portal/en/index/regionen/regionalportraets.html","BS",0.034,
"custom","BL",0.046,
"http://www.bfs.admin.ch/bfs/portal/en/index/dienstleistungen/premiere_visite/02/02_03/copy.html","BE",0.038,
2010,"FR",0.128,
"October 22nd 2011","GE",0.082,
,"GL",0.008,
"percentage","GR",0.034,
,"JU",0.011,
,"LU",0.063,
,"NE",0.024,
,"NW",0.061,
,"OW",0.057,
,"SH",0.044,
,"SZ",0.1,
,"SO",0.042,
,"SG",0.04,
,"TG",0.064,
,"TI",0.086,
,"UR",-0.012,
,"VS",0.106,
,"VD",0.114,
,"ZG",0.09,
,"ZH",0.103,
