"metadata","canton","value","value_metadata"
"Economy","AG",0.036,
"Unemployment rate in %","AR",0.02,
"Percentage of absolute Population per Canton","AI",0.012,
"http://www.bfs.admin.ch/bfs/portal/en/index/regionen/regionalportraets.html","BS",0.04,
"custom","BL",0.035,
"http://www.bfs.admin.ch/bfs/portal/en/index/dienstleistungen/premiere_visite/02/02_03/copy.html","BE",0.028,
2010,"FR",0.032,
"October 22nd 2011","GE",0.07,
,"GL",0.026,
"percentage","GR",0.017,
,"JU",0.054,
,"LU",0.027,
,"NE",0.064,
,"NW",0.017,
,"OW",0.015,
,"SH",0.032,
,"SZ",0.023,
,"SO",0.038,
,"SG",0.034,
,"TG",0.033,
,"TI",0.051,
,"UR",0.014,
,"VS",0.043,
,"VD",0.056,
,"ZG",0.026,
,"ZH",0.039,
